År,Komponist,Verk,Dirigent,Sted,Mer Info
1997-10,Diverse,Acappella program,"Mohn, Tore Erik",Gausel kirke / St. Petri,https://drive.google.com/open?id=1waDaw9Hqq-St8jOc7aDUedSHrSp3y01p
1997-10,Rutter,Gloria,"Mohn, Tore Erik",Gausel kirke / St. Petri,https://drive.google.com/open?id=1waDaw9Hqq-St8jOc7aDUedSHrSp3y01p
1997-10,Diverse,Acappella program,"Mohn, Tore Erik",Gausel kirke / St. Petri,https://drive.google.com/open?id=1waDaw9Hqq-St8jOc7aDUedSHrSp3y01p
1997-06,Verdi,"Aida: Triumfmarsj, Nabucco: Slavekoret","Engeset, Bjarte",Stavanger Konserthus,https://drive.google.com/open?id=1oNyD592ToxHcpPsdFdoB0I3l0LrjiTQR
1997-06,Wagner,Lohengrin: Bryllupsmarsj,"Engeset, Bjarte",Stavanger Konserthus,https://drive.google.com/open?id=1oNyD592ToxHcpPsdFdoB0I3l0LrjiTQR
1997-02,"Nielsen, Carl",Fynsk Foraar,"Ruud, Ole Kristian",Stavanger Konserthus,https://drive.google.com/open?id=1-9Q2p4zUM2UmS13sIeXqdWcGoj5Y4nXr
1996-12,Diverse,Juleprogram,"Gupta, Rolf",Stavanger Konserthus,https://drive.google.com/open?id=1P-EmvcJmuMRwN_TplPMMi72qBj1Dj7uf
1996-06,Rodgers & Hammerstein,Oklahoma (utdrag),"Dmitriev, Alexander",Stavanger Konserthus,
1996-08,Puccini,Madam Butterfly (konsertver.),"Boye-Hansen, Terje",Stavanger Konserthus,https://drive.google.com/open?id=1de7uos39zng186gqi5kQzTcUOkeS9q7v
1996-03,Mozart,Requiem,"Parrott, Andrew",Stavanger Domkirke,https://drive.google.com/open?id=1iWTfj6LgbcQsJQhwGcgWXwzZtUGXolLR
1996-10,Brahms,Ein Deutsches Requiem,"Dmitriev, Alexander",Stavanger Konserthus,https://drive.google.com/open?id=1f8I0L67TlNU3_PP2I7RiZ3giOmdwlf_5
1995-12,Diverse,Juleprogram,"Slinning, Kari",Stavanger Konserthus,https://drive.google.com/open?id=1rdJwInPjNs2i5N4XiyuzJ8_oi4P-oz2S
1995-12,Händel,Messias,"Andersen, Karsten",Stavanger Domkirke,https://drive.google.com/open?id=1adoUHr9gQG490lx_AS1IAk9CKhdHbGPj
1995-11,Diverse,SA ønskekonsert,"Wagner, Børge",Stavanger Konserthus,https://drive.google.com/open?id=1tSYA_EoxZskOYuYx48s8DZNHE5R054Y5
1995-06,Rosenberg,Symfoni nr. 4/ Johannes Uppenbarelse,"Andersen, Karsten",Stavanger Konserthus,https://drive.google.com/open?id=1NqME1NjXkimD26UWFTB3Uf3GIU6_9gY2
1995-04,Pärt,Berlinermesse,"Varga, Gilbert",Stavanger Konserthus,https://drive.google.com/open?id=1zkYSwxDsJOwuUkLOXhAQh54tpiPQK_LD
1995-04,Bizet,Carmen (utdrag),"Boye-Hansen, T.",Stavanger Konserthus,https://drive.google.com/open?id=1swzFhbrqPwJfSvz1MK5nQXkRvpilgSwW
1994-12,Diverse,Juleprogram,"Haukaas, Helge",Stavanger Konserthus,
1994-11,Diverse,SA ønskekonsert,"Wagner, B.",Stavanger Konserthus,https://drive.google.com/open?id=1QEIZI2JYPl7oBgDmyjBj-RlfKo564rRZ
1994-10,Elgar,Dream of Gerontius,"Llewelly, Grant",Stavanger Konserthus,https://drive.google.com/open?id=19f8DMeT8JyM4ABIBw4T04sjPLOBpWYJd
1994-06,Borodin,Fyrst Igor: Polovetsiske danser,"Fürst, Janos",Stavanger Konserthus,
1994-05,Diverse,arr. World Petrolum Congress,,Stavanger Konserthus,
1994-04,Beethoven,Symfoni nr. 9,"Parrott, Andrew",Stavanger Konserthus,https://drive.google.com/open?id=18pduZCQBD46egLMTq6W6kGX3GH-Gnl-9
1994-02,Bernstein,Chichester Psalms,"Parrott, Andrew",Stavanger Konserthus,https://drive.google.com/open?id=1bLRJcMwmlZjmRs5Q4UQq-d-f85EHNDNn
